adi-Center,125.210.126.45,125.210.122.243 ,,,,,,,,,,,
adi-Center,125.210.126.46,125.210.122.243 ,,,,,,,,,,,
中心系统 ,125.210.126.47,,,,,,,,,,,,
中心系统,125.210.126.48,,,,,,,,,,,,
中心系统,125.210.126.49,,,,,,,,,,,,
重庆OA vod ,125.210.126.50,,,,,,,,,,,,
辽宁异构_vod ,125.210.126.51,,,,,,,,,,,,
辽宁搜狐_vod ,125.210.126.51,,,,,,,,,,,,
宁夏异构_vod ,125.210.126.128,,,,,,,,,,,,
天津广电异构_vod ,125.210.161.110,,,,,,,,,,,,
天津广电FTP,125.210.99.37,,,,,,,,,,,,
ICDS_FTE_ADIAgent,125.210.98.77,,,,,,,,,,,,
ICDS_FTE_ADIAgent,125.210.98.78,,,,,,,,,,,,
云南爱上vod,10.255.49.2,,,,,,,,,,,,
云南爱上ftp,10.255.49.3,,,,,,,,,,,,
山东省网,10.255.25.15,,,,,,,,,,,,
山东省网FTE,10.255.25.16,,,,,,,,,,,,
广东南方新媒体vod,125.210.29.194,,,,,,,,,,,,
广东南方新媒体ftp,125.210.29.195,,,,,,,,,,,,
新深圳天威vod,11.255.13.100,,,,,,,,,,,,
贵州省网vod,10.255.52.235,,,,,,,,,,,,
贵州省网ftp,10.255.52.236,,,,,,,,,,,,
广西新媒体cp合作项目主机,125.210.29.116,,,,,,,,,,,,
广西新媒体cp合作项目备机,125.210.29.117,,,,,,,,,,,,
宁夏电视台CP,10.255.49.67,,,,,,,,,,,,
宁夏电视台CPftp,10.255.49.69,,,,,,,,,,,,
湖南省网vod,125.210.31.66,,,,,,,,,,,,
湖南省网ftp,125.210.31.67,,,,,,,,,,,,
昆山异构vod,10.255.56.41,,,,,,,,,,,,
昆山异构ftp,10.255.56.40,,,,,,,,,,,,
云南异构ftp,11.255.7.13,,,,,,,,,,,,
云南异构自研vod,11.255.7.32,,,,,,,,,,,,
辽宁异构ftp,10.255.47.13,,,,,,,,,,,,
 海南、行云对接FTP,125.210.117.92,,,,,,,,,,,,
河南移动adi-VOD ,10.255.55.10,,,,,,,,,,,,
河南移动FTP,10.255.55.8,,,,,,,,,,,,
山东中央媒资-对接融合门户VOD-青云主机,10.255.51.130,,,,,,,,,,,,
SD-meizi-FTP,10.255.51.132,,,,,,,,,,,,
山东中央媒资 搬迁组件-青云主机,10.252.16.40,,,,,,,,,,,,
宁夏cp接口机,11.255.1.20,,,,,,,,,,,,
山东联通接口机(eip:125.210.48.215),10.252.16.151,,,,,,,,,,,,
山东联通接口机ftp(eip:125.210.48.58),10.252.16.39,,,,,,,,,,,,
湖北广电CP,125.210.161.111,,,,,,,,,,,,
合肥有线接口机 主机,10.255.58.138 ,,,,,,,,,,,,
合肥有线接口机 备机,10.255.58.139,,,,,,,,,,,,
合肥有线ftp主 主机,10.255.58.140,,,,,,,,,,,,
合肥有线ftp  备机,10.255.58.141,,,,,,,,,,,,
adi-VOD2,11.255.8.105,,,,,,,,,,,,
adi-VOD1,11.255.8.111,,,,,,,,,,,,
wasu-cqyx-sjjkj-bei,11.255.8.101,,,,,,,,,,,,
wasu-cqyx-aojkj-bei,11.255.8.106,,,,,,,,,,,,
YNXMT-JKJ,10.255.49.34,,,,,,,,,,,,
YNXMT-FTP,10.255.49.35,,,,,,,,,,,,
媒资传输系统mgmt145,10.252.16.145 ,,,,,,,,,,,,
媒资传输系统transfer53,10.252.16.53,,,,,,,,,,,,
媒资传输系统transfer83, 10.252.16.83 ,,,,,,,,,,,,
媒资传输系统mgm ,125.210.98.29,,,,,,,,,,,,
媒资传输系统transfert ,125.210.98.44,,,,,,,,,,,,
媒资传输系统transfert ,125.210.98.45,,,,,,,,,,,,
USDL_01（主机）,125.210.124.103,125.210.124.253,,,,,,,,,,,
USDL_02（备机）,125.210.124.104,125.210.124.253,,,,,,,,,,,
USDL_HOTEL_DS_01,125.210.127.162,125.210.122.241,,,,,,,,,,,
